Exchange Symbol,Recipient,URL,Potential Reach,About,Value
PrivateCompany,Business Insider,https://markets.businessinsider.com/news/stocks/caseconverter.tools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors-1034979068,"88,000,000","Insider tells the global tech, finance, markets, media, healthcare, and strategy stories you want to know.",Business Insider is an American financial and business news website founded in 2007. It is one of the most visited sites for business news in North America. Press releases sent to Business Insider are made available on its web site and tend to be highly ranked by search engines.
PrivateCompany,The Globe and Mail,https://www.theglobeandmail.com/investing/markets/markets-news/Newsfile/33859275/caseconvertertools-launches-free-online-tool-to-instantly-fix-text-case-and-formatting-errors/,"7,356,000","Globe Investor offers the most current and up-to-date information on stocks and markets from The Globe and Mail. Find personal finance, mortgage, investment ideas, market information, and stock pick news and analysis from Canada and the world.","The public company news releases Newsfile sends Globeinvestor are featured on the news, business, and finance section of the Globe and Mail website. The finance portion of the website receives upwards of 7.35 million unique visitors each month."
PrivateCompany,National Post,https://nationalpost.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Financial Post,https://financialpost.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Ottawa Citizen,https://ottawacitizen.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Vancouver Sun,https://vancouversun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Toronto Sun,https://torontosun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Calgary Herald,https://calgaryherald.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Montreal Gazette,https://montrealgazette.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
PrivateCompany,Calgary Sun,https://calgarysun.com/author/wsnewsfile/261132-CaseConverter-tools-Launches-Free-Online-Tool-to-Instantly-Fix-Text-Case-and-Formatting-Errors,N/A,,
